	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
LRRC41	0.0000000000000000000000695029595022375	-0.856503454727688	0.107	0.194	0.00000000000000000169177153724396
PNRC2	0.0000000000000000000000715694928429554	-0.333487432841705	0.427	0.546	0.00000000000000000174207302529038
RRAGA	0.0000000000000000000000724998968271512	-0.453964482926374	0.145	0.228	0.00000000000000000176471998866969
TRIM11	0.0000000000000000000000747435383661374	-0.697392310801637	0.122	0.209	0.00000000000000000181933246737015
TUT4	0.0000000000000000000000759885475220231	-0.4988936779932	0.151	0.24	0.00000000000000000184963723523356
NDUFS5	0.0000000000000000000000796812007035922	-0.165227257867469	0.553	0.661	0.00000000000000000193952010632614
FAM96B	0.0000000000000000000000798705258851922	-0.321383625846328	0.385	0.501	0.00000000000000000194412847057146
SLC9A3R1	0.0000000000000000000000812425095832857	0.236616195215815	0.642	0.641	0.00000000000000000197752392576676
MRPS7	0.0000000000000000000000818984786838873	-0.451799007944883	0.181	0.272	0.0000000000000000019934908696445
MRPS18A	0.0000000000000000000000877069074246661	-0.726800630997046	0.105	0.187	0.0000000000000000021348738336238
KDM5A	0.0000000000000000000000895482049217635	-0.411870017095147	0.259	0.366	0.00000000000000000217969285600064
BCLAF1	0.000000000000000000000092048132594612	-0.372578760498168	0.433	0.552	0.00000000000000000224054359548545
SIK1B	0.0000000000000000000000931709954963997	-1.59597377355297	0.029	0.086	0.00000000000000000226787520137787
ATP13A1	0.0000000000000000000000986535891238376	-1.0665722238553	0.055	0.124	0.00000000000000000240132701286333
KHDRBS1	0.000000000000000000000102164590303302	-0.390055369444958	0.423	0.541	0.00000000000000000248678829257267
H2AFY	0.000000000000000000000106500956394309	-0.481644388340534	0.216	0.318	0.00000000000000000259233977959388
HECTD2	0.000000000000000000000108512788307331	-1.76210779151302	0.011	0.05	0.00000000000000000264130978018875
TOE1	0.000000000000000000000109100802360649	-0.960568168244946	0.068	0.142	0.00000000000000000265562263026055
CPSF7	0.000000000000000000000111109463252511	-0.664587443118823	0.12	0.205	0.00000000000000000270451544502936
TSPYL1	0.000000000000000000000111606442834401	-0.607888926039891	0.187	0.288	0.00000000000000000271661242503214
PRCC	0.000000000000000000000111842037025818	-0.682767297178384	0.142	0.235	0.00000000000000000272234702324545
ADAM8	0.000000000000000000000114293153707576	0.630241251834649	0.287	0.21	0.0000000000000000027820096543961
STRAP	0.000000000000000000000115162736611801	-0.354385244596758	0.399	0.516	0.00000000000000000280317617186784
PNKP	0.000000000000000000000121254509678254	-0.497427132858565	0.145	0.228	0.00000000000000000295145602007838
RNF40	0.000000000000000000000122925171268828	-0.718067005175626	0.101	0.181	0.00000000000000000299212159385454
BRD4	0.000000000000000000000123817151856443	-0.598079438488207	0.184	0.285	0.00000000000000000301383329333769
PTPRJ	0.000000000000000000000132151243358434	-0.921857876862002	0.078	0.154	0.00000000000000000321669341458764
TSPAN31	0.000000000000000000000134500617427435	-0.984347948017603	0.059	0.126	0.0000000000000000032738795288012
DUS3L	0.00000000000000000000013804075616406	-0.805674012155942	0.079	0.153	0.00000000000000000336005004578938
ATP8A1	0.000000000000000000000138204116624431	0.876426876276648	0.162	0.106	0.00000000000000000336402640275528
COPA	0.00000000000000000000013867636735399	-0.333878559705879	0.245	0.342	0.00000000000000000337552145776347
SART3	0.000000000000000000000140350234951659	-0.736112816602754	0.094	0.171	0.00000000000000000341626506895833
ZNF529	0.000000000000000000000144446031341496	-1.21466328756284	0.044	0.109	0.00000000000000000351596084888336
RSL1D1	0.000000000000000000000147465654219263	-0.405956670369924	0.388	0.506	0.00000000000000000358946148935108
TUFM	0.000000000000000000000152151748789358	-0.187483077248427	0.383	0.48	0.00000000000000000370352571728176
CSNK1A1	0.000000000000000000000161856261472076	-0.339184611505522	0.316	0.424	0.00000000000000000393974326049181
HINT2	0.000000000000000000000164967404859646	-0.508205399935618	0.136	0.216	0.00000000000000000401547160168863
NCK2	0.000000000000000000000171465309888679	1.3620507992966	0.09	0.038	0.00000000000000000417363710800035
BLOC1S4	0.000000000000000000000175016156324153	-0.640509156423237	0.154	0.249	0.0000000000000000042600682610862
ADPRM	0.000000000000000000000176873731916603	-1.41385520491489	0.03	0.087	0.00000000000000000430528350858203
STYXL1	0.000000000000000000000180454503533033	-0.837156583588305	0.079	0.153	0.00000000000000000439244307049756
TBCA	0.00000000000000000000019089953057945	0.317856047717913	0.553	0.512	0.00000000000000000464668547383439
ZCRB1	0.000000000000000000000191903640924423	-0.511772604326934	0.123	0.2	0.00000000000000000467112652374137
CPD	0.000000000000000000000197969282853773	0.933360318603439	0.163	0.1	0.00000000000000000481877031394368
ERH	0.000000000000000000000200830749603346	-0.327166261846299	0.329	0.438	0.00000000000000000488842127609505
CD5	0.000000000000000000000202645651983592	0.590027657888407	0.335	0.247	0.00000000000000000493259781493262
MLH1	0.000000000000000000000203770081210692	-0.766141231206543	0.092	0.169	0.00000000000000000495996754674947
CSRP1	0.000000000000000000000219835149343979	-0.579776167185142	0.146	0.235	0.00000000000000000535100737018179
CSDE1	0.000000000000000000000222920406349455	-0.233497687331292	0.496	0.608	0.0000000000000000054261056109521
ETS2	0.000000000000000000000227404193470949	-0.877816882774381	0.128	0.219	0.00000000000000000553524547327638
AAED1	0.000000000000000000000227767864029602	-0.621699792947767	0.161	0.257	0.00000000000000000554409757834455
CAB39	0.000000000000000000000227995507134497	-0.899181167121431	0.099	0.182	0.0000000000000000055496386391608
PNN	0.000000000000000000000238624831967855	-0.320063240694686	0.337	0.445	0.00000000000000000580836703492955
TUBB4A	0.000000000000000000000245462158714118	1.41319364905686	0.093	0.042	0.00000000000000000597479440526035
SLC38A10	0.00000000000000000000025774177761914	-0.620769130368005	0.132	0.219	0.00000000000000000627369260902748
SRSF9	0.000000000000000000000263910113472393	-0.388864389639072	0.235	0.333	0.00000000000000000642383607203151
ELAVL1	0.000000000000000000000269334490124174	-0.556713906678239	0.202	0.304	0.00000000000000000655587082411251
CCDC130	0.00000000000000000000028189966440865	-0.542450828501271	0.137	0.221	0.00000000000000000686171973137096
GMEB1	0.000000000000000000000283045363734774	-0.856476414493412	0.077	0.152	0.00000000000000000688960719866814
ORMDL3	0.000000000000000000000293638095591965	-0.544745593162812	0.159	0.251	0.00000000000000000714744488480401
C12orf4	0.000000000000000000000295170965463367	-1.29305409678839	0.031	0.087	0.00000000000000000718475647034382
TULP3	0.000000000000000000000296000790183575	-1.12333318818302	0.033	0.086	0.0000000000000000072049552338584
TIAL1	0.000000000000000000000300201549494504	-0.456307265508645	0.277	0.386	0.00000000000000000730720591624572
RGPD2	0.000000000000000000000303268390324733	-1.83066905044733	0.021	0.073	0.00000000000000000738185588889433
GNA12	0.000000000000000000000307512324269801	-2.04215893913197	0.012	0.055	0.00000000000000000748515748505123
SFXN4	0.00000000000000000000031228603723562	-1.40098119708832	0.031	0.088	0.00000000000000000760135443235224
SAR1A	0.000000000000000000000320257193199369	0.563678834635077	0.287	0.227	0.00000000000000000779538033966585
FUBP1	0.000000000000000000000322824491512493	-0.616225041485638	0.164	0.261	0.00000000000000000785787094790558
CAPRIN1	0.000000000000000000000325281466273613	-0.622283332564433	0.146	0.238	0.00000000000000000791767617056602
SNU13	0.000000000000000000000330688512556892	-0.225894722561612	0.569	0.68	0.0000000000000000080492890841473
FZR1	0.00000000000000000000035150217155706	-1.05197861717693	0.044	0.104	0.0000000000000000085559143578704
CNOT8	0.00000000000000000000035450948659727	-0.546946990971851	0.183	0.28	0.00000000000000000862911541326416
TBPL1	0.000000000000000000000356534697745419	0.520618079505915	0.306	0.256	0.00000000000000000867841107782125
RCOR3	0.000000000000000000000378235554887899	-0.715819402966289	0.089	0.163	0.00000000000000000920663164152636
EGLN2	0.000000000000000000000379936703185103	-0.468472649787427	0.211	0.311	0.0000000000000000092480392922286
KLRC4	0.000000000000000000000390747797755344	0.916175129488865	0.139	0.088	0.00000000000000000951119214516284
TAPBP	0.000000000000000000000391732026838772	-0.263994223073876	0.548	0.661	0.00000000000000000953514926528255
ATP5I	0.000000000000000000000438644519813465	0.51600822182398	0.191	0.116	0.0000000000000000106770462567795
YTHDF2	0.000000000000000000000448026285827732	-0.42664108960441	0.293	0.403	0.0000000000000000109054078233328
ZNRD1	0.00000000000000000000045396863618448	-0.350426760102789	0.303	0.41	0.0000000000000000110500505733664
EMC7	0.000000000000000000000461757191557813	-0.46786107773182	0.222	0.324	0.0000000000000000112396317997087
IPPK	0.000000000000000000000481508738509546	-1.29618037958782	0.035	0.093	0.0000000000000000117204042040609
RNF10	0.000000000000000000000482162267641475	-0.498605859042462	0.286	0.398	0.0000000000000000117363117566611
IFRD1	0.000000000000000000000488696453205579	-0.424786996091908	0.516	0.625	0.000000000000000011895360367477
HNRNPA0	0.000000000000000000000501882318711124	-0.160470963129936	0.64	0.743	0.0000000000000000122163175197475
MRM3	0.000000000000000000000512744480067083	-1.0966568446557	0.052	0.118	0.0000000000000000124807133893129
PCNX1	0.000000000000000000000514451967403158	1.4100270009794	0.083	0.037	0.0000000000000000125222753385603
SNX29	0.000000000000000000000545485662753838	-1.10722800534319	0.057	0.125	0.0000000000000000132776665170912
TIMM8B	0.000000000000000000000551116584649247	-0.642822060491263	0.13	0.216	0.0000000000000000134147287869473
C22orf39	0.000000000000000000000602198499262493	-0.558720630067499	0.133	0.216	0.0000000000000000146581136705483
PRPF4B	0.000000000000000000000628543109802603	-0.413076834506854	0.284	0.394	0.0000000000000000152993678357052
EIPR1	0.000000000000000000000629541201228997	-1.3266261202251	0.043	0.107	0.000000000000000015323662379115
MYO1G	0.000000000000000000000633044138491623	0.343069961489465	0.442	0.411	0.0000000000000000154089273750246
SLU7	0.000000000000000000000635527183650261	-0.503131410218841	0.229	0.333	0.000000000000000015469367177231
ZNF460	0.000000000000000000000637550533468704	-1.21933629528642	0.044	0.107	0.0000000000000000155186175351617
PHTF2	0.000000000000000000000649727969288352	-0.890937329614165	0.092	0.173	0.0000000000000000158150285004478
ARPP19	0.000000000000000000000660587935874742	-0.509920653594656	0.231	0.336	0.0000000000000000160793709471271
SNX11	0.000000000000000000000663973386147182	-0.949558837960489	0.05	0.112	0.0000000000000000161617761922085
PIP4K2A	0.000000000000000000000669660468163231	0.691249968298338	0.239	0.173	0.0000000000000000163002054555612
MAP4K5	0.000000000000000000000675696679832466	0.87854448024601	0.155	0.099	0.0000000000000000164471328838021
GPR132	0.000000000000000000000698921837944154	0.649899806385841	0.228	0.178	0.0000000000000000170124564573986
RAB34	0.000000000000000000000714808555203129	-1.84624286953947	0.021	0.071	0.0000000000000000173991550421994
RABAC1	0.0000000000000000000007213197073462	-0.440703818522067	0.414	0.528	0.0000000000000000175576429965138
PPP3CA	0.000000000000000000000744812124269343	1.08520134016981	0.125	0.067	0.0000000000000000181294719168401
B3GNT5	0.000000000000000000000748777543157116	-2.0503925389612	0.015	0.061	0.0000000000000000182259941779874
L3MBTL2	0.000000000000000000000773768078514258	-0.744020294882636	0.062	0.122	0.0000000000000000188342887991156
SELENOF	0.000000000000000000000778022953993952	-0.363477526985659	0.244	0.341	0.0000000000000000189378567231668
KSR1	0.000000000000000000000792261798362649	-2.232804037983	0.011	0.053	0.0000000000000000192844444339452
MRPS27	0.000000000000000000000804722039405266	-0.732626364112122	0.095	0.172	0.0000000000000000195877391611636
ZNF644	0.000000000000000000000810131604278596	-0.458429142353534	0.224	0.325	0.0000000000000000197194133797453
THOP1	0.000000000000000000000815478472437377	-1.1622176638362	0.045	0.109	0.0000000000000000198495614975982
PSMC2	0.000000000000000000000817781859264263	-0.517538499383991	0.17	0.262	0.0000000000000000199056282363514
CNOT4	0.000000000000000000000822115224395143	-0.487507195586379	0.179	0.272	0.0000000000000000200111066770022
ZBED1	0.000000000000000000000825370463277954	-1.1308657949112	0.043	0.105	0.0000000000000000200903424466487
LPAR5	0.000000000000000000000905202702163141	-1.10069837719122	0.038	0.095	0.000000000000000022033538973353
ABHD8	0.000000000000000000000930291967809173	-1.86891440826837	0.013	0.056	0.0000000000000000226442367884431
GNPTAB	0.000000000000000000000943493194015354	0.682482819497009	0.237	0.174	0.0000000000000000229655678355277
MRPL27	0.000000000000000000000949476794794448	-0.478412166078919	0.119	0.192	0.0000000000000000231112146620917
SRPK2	0.000000000000000000000960000049608426	0.518683898896558	0.329	0.264	0.0000000000000000233673612075187
STAM2	0.00000000000000000000100750914927711	-1.39882819361519	0.026	0.079	0.0000000000000000245237802025542
DNAJA4	0.00000000000000000000101823926366512	0.294153803078003	0.268	0.289	0.0000000000000000247849619168727
ZNHIT1	0.00000000000000000000103238415517524	-0.158258228493215	0.268	0.346	0.0000000000000000251292627211205
HPRT1	0.00000000000000000000107049408423772	-0.571511761820682	0.154	0.245	0.0000000000000000260568965044303
ROCK1	0.0000000000000000000011229751255876	-0.380512382406458	0.347	0.461	0.0000000000000000273343375319277
XRCC5	0.00000000000000000000116341516115085	-0.349245327649825	0.417	0.532	0.0000000000000000283186884375727
SHFM1	0.00000000000000000000116819199287319	-0.376414027690881	0.139	0.118	0.0000000000000000284349612985264
ALDH9A1	0.00000000000000000000117676215026106	-0.518457750488443	0.173	0.265	0.0000000000000000286435674995045
MOV10	0.00000000000000000000124072854176983	-0.988248640127205	0.055	0.12	0.0000000000000000302005734352194
AL359220.1	0.00000000000000000000132611471348447	-2.008404859367	0.013	0.056	0.0000000000000000322789582409254
KLF5	0.00000000000000000000138152203153532	1.77992780638359	0.055	0.017	0.0000000000000000336276277696011
TUT7	0.00000000000000000000140297576259389	-0.613427596209355	0.09	0.159	0.0000000000000000341498330372979
PUM1	0.00000000000000000000142619834321906	-0.751142769387072	0.141	0.232	0.0000000000000000347150938722952
LSM4	0.00000000000000000000144887482238541	-0.574608103625234	0.182	0.279	0.0000000000000000352670620516832
FARS2	0.00000000000000000000145762335541706	-0.858770557305077	0.067	0.135	0.0000000000000000354800100942066
PRPF40A	0.00000000000000000000146693717221777	-0.29200978215253	0.33	0.435	0.0000000000000000357067177089528
RBM22	0.00000000000000000000150038553533678	0.342118910855326	0.298	0.291	0.0000000000000000365208843156326
NBPF9	0.00000000000000000000150912951569172	-1.57395401632256	0.015	0.056	0.0000000000000000367337215414522
TOR1AIP1	0.00000000000000000000151800559356608	-0.479930120633404	0.212	0.31	0.000000000000000036949774152992
FDXR	0.00000000000000000000156782050797995	-2.02132933783842	0.015	0.061	0.0000000000000000381623189847401
PPHLN1	0.00000000000000000000156950077098975	-0.407176737729529	0.209	0.3	0.0000000000000000382032182666616
NECAB3	0.00000000000000000000159448588070279	-1.74238472672908	0.021	0.071	0.0000000000000000388113808221867
MAD2L1BP	0.00000000000000000000160368503998664	-0.91676743870383	0.065	0.133	0.0000000000000000390352975583148
HMGB2	0.00000000000000000000161296065157357	-0.410335589711656	0.527	0.633	0.0000000000000000392610752199522
WDR45B	0.00000000000000000000171880465272128	-0.512854046440065	0.167	0.257	0.0000000000000000418374240518888
MIAT	0.00000000000000000000175947408386362	1.30203202752112	0.091	0.043	0.0000000000000000428273586753244
AATF	0.00000000000000000000182713014977857	-0.567188068290303	0.22	0.324	0.0000000000000000444741749757602
ZC3H15	0.00000000000000000000182767999873814	-0.369494860425329	0.376	0.49	0.000000000000000044487558849285
MTX2	0.00000000000000000000190006206120106	-0.906860362690627	0.058	0.122	0.000000000000000046249410631695
MCL1	0.00000000000000000000191910661713752	0.208170912228824	0.804	0.839	0.0000000000000000467129741677443
SCAMP3	0.00000000000000000000192768415174761	-0.486562183460027	0.183	0.275	0.0000000000000000469217599376886
ARHGEF9	0.00000000000000000000192911421928141	-0.712530724265096	0.091	0.165	0.0000000000000000469565692115288
DIAPH1	0.00000000000000000000196320050587963	0.511881484395997	0.3	0.247	0.0000000000000000477862635136161
NUTF2	0.00000000000000000000199207155467295	-0.573015903362069	0.152	0.241	0.0000000000000000484890137122943
MRPL52	0.00000000000000000000208459464430719	-0.498288081362057	0.229	0.332	0.0000000000000000507411182370813
BRK1	0.00000000000000000000211760588226126	-0.400072384619214	0.404	0.519	0.0000000000000000515446447801214
TMEM165	0.000000000000000000002137487292211	-0.244978195299483	0.208	0.287	0.0000000000000000520285781797081
JAGN1	0.00000000000000000000230086844105859	-0.536325133303603	0.14	0.222	0.000000000000000056005438723807
AC006369.1	0.00000000000000000000236704754601948	1.09620206066968	0.109	0.064	0.0000000000000000576163043176601
PTGES2	0.00000000000000000000247813309522909	-0.693276400069236	0.107	0.186	0.0000000000000000603202376709712
TRIB2	0.00000000000000000000250505788632319	1.65285757903588	0.063	0.021	0.0000000000000000609756140109927
SF3A3	0.00000000000000000000260396130780885	-0.522980735073808	0.177	0.27	0.0000000000000000633830221933752
RP3-325F22.5	0.00000000000000000000261053324635092	1.70091346595834	0.057	0.022	0.0000000000000000635429897494277
NDUFS2	0.0000000000000000000026206432070836	-0.445894520887452	0.18	0.268	0.0000000000000000637890763036219
PGD	0.00000000000000000000266225889379083	-0.506143544194591	0.148	0.231	0.0000000000000000648020437337625
QRICH1	0.00000000000000000000276929915164423	-0.557800950280202	0.166	0.257	0.0000000000000000674075106501722
MRPL18	0.00000000000000000000290020033966074	0.368205238606352	0.666	0.631	0.0000000000000000705937764676822
MCCC2	0.00000000000000000000290882615727025	-0.866628023823197	0.074	0.146	0.0000000000000000708037374941152
FMNL3	0.0000000000000000000029738559958757	-1.38036330163206	0.03	0.085	0.0000000000000000723866287956103
PCID2	0.00000000000000000000299405905820377	0.668580294773406	0.205	0.153	0.0000000000000000728783915357379
PSENEN	0.00000000000000000000302389767177393	-0.600595762569686	0.145	0.233	0.0000000000000000736046932286491
KCTD5	0.0000000000000000000030578970131383	-0.734297146680683	0.08	0.15	0.0000000000000000744322711967993
SEC61A1	0.00000000000000000000311110965334271	-0.386305674939817	0.201	0.289	0.0000000000000000757275200720149
DNAJB9	0.00000000000000000000317923086428777	-0.470660000718816	0.323	0.435	0.0000000000000000773856584676286
PDZD11	0.00000000000000000000320735440802752	-0.767348537813729	0.074	0.141	0.0000000000000000780702136457978
ANKRD13A	0.00000000000000000000322624610672478	1.64342173625911	0.064	0.022	0.000000000000000078530056483788
PAFAH2	0.00000000000000000000333212930097956	1.25650983739748	0.088	0.044	0.0000000000000000811073593151434
MRPS34	0.00000000000000000000338509307055434	-0.389588157172558	0.211	0.301	0.0000000000000000823965504303633
MT1E	0.0000000000000000000034638817586216	-0.165001280738586	0.149	0.208	0.0000000000000000843143458866083
SELENOS	0.0000000000000000000036364067521503	-0.468565281642153	0.179	0.27	0.0000000000000000885137767540904
RAD23A	0.0000000000000000000037030114859578	-0.336142705009012	0.354	0.464	0.0000000000000000901350025796988
AC006129.2	0.00000000000000000000379170814928137	1.33497228141263	0.096	0.046	0.0000000000000000922939680616578
COPS9	0.00000000000000000000380138882359384	-0.301715309758356	0.226	0.312	0.0000000000000000925296053550975
EIF4G1	0.00000000000000000000384836458143458	-0.519580919507001	0.193	0.289	0.000000000000000093673042276699
CANT1	0.00000000000000000000386404031976457	-1.00963071907861	0.063	0.132	0.0000000000000000940546054233894
YTHDC1	0.00000000000000000000388547588353441	-0.34088173495335	0.379	0.492	0.0000000000000000945763684811111
PRPF31	0.00000000000000000000391275778997652	-0.400302282130425	0.158	0.234	0.0000000000000000952404373658186
PHIP	0.00000000000000000000401479684323112	-0.429156570447386	0.282	0.39	0.0000000000000000977241699610887
COX14	0.00000000000000000000408632126604724	-0.420162987989926	0.26	0.364	0.0000000000000000994651459368558
FOXO3	0.00000000000000000000429336751583287	1.03948200900109	0.125	0.072	0.000000000000000104504858702888
SNHG12	0.00000000000000000000429548514779919	0.314607570311388	0.469	0.456	0.00000000000000010455640398258
SUPT3H	0.00000000000000000000435737314835946	-0.577783441418467	0.126	0.208	0.000000000000000106062819804218
GIGYF2	0.00000000000000000000438887689852695	-0.757082453251529	0.101	0.181	0.000000000000000106829652587044
MRPS18B	0.00000000000000000000444292744955821	-0.537069211910271	0.127	0.204	0.000000000000000108145297049696
TOMM70	0.00000000000000000000445177888016213	-1.13329881148766	0.045	0.106	0.000000000000000108360749722026
ROGDI	0.00000000000000000000448635514096237	-2.08335468808907	0.012	0.055	0.000000000000000109202370486165
JUN	0.00000000000000000000461972610285975	0.373925272143865	0.981	0.981	0.000000000000000112448753069709
TAF7	0.00000000000000000000471327264113829	-0.306581493739734	0.384	0.495	0.000000000000000114725769357947
RBM25	0.00000000000000000000493229585488933	-0.280172446692536	0.44	0.551	0.000000000000000120057013403861
AC016831.7	0.00000000000000000000510160359072936	-0.131568359068705	0.32	0.407	0.000000000000000124178133001943
SLC25A38	0.00000000000000000000514318645221128	-0.45887539270363	0.213	0.309	0.000000000000000125190301433275
HIST1H1E	0.0000000000000000000051455177637938	-0.680961886108255	0.111	0.195	0.000000000000000125247047888505
ZSCAN18	0.0000000000000000000051940707498643	-1.8327640681392	0.019	0.067	0.000000000000000126428876122447
GDI1	0.00000000000000000000532455825980072	-0.461431190767649	0.215	0.313	0.000000000000000129605072601809
PPP6R3	0.00000000000000000000540478594567765	-0.573658785076876	0.129	0.21	0.00000000000000013155789470374
EMC8	0.00000000000000000000541606326531704	-0.616376920019541	0.088	0.155	0.000000000000000131832395941082
ELOA	0.00000000000000000000546803878426696	-0.7564586904489	0.075	0.142	0.000000000000000133097532047842
INPP4A	0.00000000000000000000557220942879583	0.976829458405516	0.145	0.085	0.000000000000000135633149706319
STT3B	0.000000000000000000005671452239341	-0.903034964634	0.099	0.179	0.000000000000000138048818957799
HSPA5	0.00000000000000000000616155607098931	0.21945240408668	0.859	0.863	0.000000000000000149978436323951
ZMAT5	0.0000000000000000000065798920117003	-0.716985152389268	0.075	0.14	0.000000000000000160161151456797
NPM1	0.00000000000000000000674586799437549	-0.136326547568659	0.912	0.958	0.000000000000000164201172851094
FAM46C	0.0000000000000000000068123393676313	0.847022609237112	0.152	0.082	0.000000000000000165819152547514
APOBR	0.00000000000000000000692240449325726	1.80817303805515	0.056	0.018	0.000000000000000168498247770375
NUDT18	0.00000000000000000000699379422715458	-0.878712030750789	0.062	0.127	0.00000000000000017023594528317
STAG2	0.00000000000000000000717968102303552	-0.473785435555532	0.268	0.374	0.000000000000000174760615781708
CNOT3	0.00000000000000000000719004549901851	-0.630577438638056	0.089	0.158	0.00000000000000017501289749161
VDAC2	0.000000000000000000007244046580868	-0.207413637177889	0.392	0.49	0.000000000000000176327337824908
ELOC	0.00000000000000000000731942440322148	-0.148682664393948	0.299	0.378	0.000000000000000178162109398814
PYURF	0.00000000000000000000744809359603596	-0.397270121076753	0.313	0.421	0.000000000000000181294046221111
MIDN	0.00000000000000000000763993869767019	0.47162536852405	0.293	0.256	0.00000000000000018596374783999
CGAS	0.00000000000000000000764901513932429	-0.524565974872913	0.15	0.236	0.000000000000000186184677506292
NAB2	0.00000000000000000000768991606787412	-1.50844983692123	0.023	0.073	0.000000000000000187180247008124
PMM1	0.00000000000000000000769139896859088	-0.742697844170438	0.077	0.144	0.000000000000000187216342294471
MRPL38	0.00000000000000000000771769652140247	-0.480230760477002	0.149	0.23	0.000000000000000187856451027458
MPDU1	0.00000000000000000000799830829090136	-0.772432925389685	0.08	0.15	0.00000000000000019468682210883
LINC00623	0.00000000000000000000814263738992878	0.906477824962741	0.159	0.096	0.000000000000000198199936708256
TAPBPL	0.00000000000000000000940899935618632	0.943435336405239	0.149	0.085	0.000000000000000229024453328931
LINC02084	0.00000000000000000000964353440722644	-0.877370849116737	0.062	0.125	0.000000000000000234733271006299
RNF7	0.0000000000000000000098114867128483	-0.374538265512739	0.379	0.491	0.000000000000000238821398077441
CHTF8	0.0000000000000000000100516645106572	-0.606717842905221	0.144	0.231	0.000000000000000244667565853906
SND1	0.0000000000000000000103162910108692	-0.573669767099471	0.216	0.318	0.000000000000000251108839495568
HMG20B	0.000000000000000000010663895434651	-0.543670880046822	0.122	0.199	0.00000000000000025956987877484
DNAJB2	0.0000000000000000000107945968919245	-0.493792386136206	0.164	0.251	0.000000000000000262751282946334
C20orf24	0.0000000000000000000109218462515163	1.11737075702078	0.124	0.066	0.000000000000000265848659608158
GGNBP2	0.0000000000000000000109586511778788	-0.308692864353614	0.29	0.388	0.000000000000000266744528320747
SRP14	0.0000000000000000000109833683423228	-0.226901258667506	0.856	0.905	0.00000000000000026734616882048
VPS35	0.0000000000000000000109841011737935	-0.504640565315045	0.136	0.214	0.000000000000000267364006671308
ABHD12	0.0000000000000000000111163379312533	-0.63007783082086	0.093	0.162	0.000000000000000270582781584636
TMEM181	0.0000000000000000000113799425635834	1.0468528853778	0.098	0.062	0.000000000000000276999181940184
SH3BP1	0.0000000000000000000114060662746285	-0.521452849612271	0.192	0.287	0.000000000000000277635059190732
AKIRIN2	0.0000000000000000000117162897250861	-0.0172323950139255	0.355	0.421	0.000000000000000285186208198321
ADAM15	0.0000000000000000000117523634709341	1.60976731077592	0.063	0.023	0.000000000000000286064279246008
F2R	0.0000000000000000000120422569886456	-0.54400497646266	0.222	0.324	0.000000000000000293120577360623
TNFSF10	0.0000000000000000000121041275046923	-0.892365170795657	0.085	0.16	0.000000000000000294626567591716
USB1	0.0000000000000000000124106640451894	-0.602398632821312	0.111	0.187	0.000000000000000302087973523956
ASCC3	0.0000000000000000000125730776774353	-0.577843244934969	0.125	0.204	0.000000000000000306041283746453
MTG1	0.0000000000000000000127583252001796	-0.614110176947053	0.094	0.163	0.000000000000000310550393697571
MRPL28	0.0000000000000000000127794393659476	-0.515428913687181	0.109	0.178	0.00000000000000031106433360653
ZBTB2	0.0000000000000000000130166468654823	-0.69418413055124	0.104	0.182	0.000000000000000316838201352704
CHFR	0.0000000000000000000130789326801096	-0.537698008841179	0.114	0.187	0.000000000000000318354300366547
SIRT6	0.0000000000000000000131631055260282	-1.13001294716155	0.05	0.114	0.000000000000000320403151609052
RSPRY1	0.0000000000000000000140711870833232	-0.720652382550235	0.08	0.147	0.000000000000000342506764795169
CCNL1	0.0000000000000000000145825147430299	-0.29001666658576	0.535	0.645	0.000000000000000354952991360091
FRYL	0.0000000000000000000146206527749322	-0.57132889991319	0.18	0.275	0.000000000000000355881309194625
CNOT1	0.000000000000000000014835924244162	-0.558144546820425	0.183	0.279	0.000000000000000361121232027147
ECPAS	0.0000000000000000000151995710129206	-1.1084971065429	0.039	0.094	0.0000000000000003699727580255
KLF10	0.000000000000000000015409490683949	0.624188104199562	0.293	0.212	0.000000000000000375082412738003
SUDS3	0.0000000000000000000154470054815027	-0.669074084586586	0.087	0.156	0.000000000000000375995560425257
CEP128	0.0000000000000000000157077166710319	-1.54595031630509	0.021	0.067	0.000000000000000382341531489586
SF1	0.0000000000000000000160476445333408	-0.270436456906736	0.58	0.687	0.000000000000000390615715586048
MUC20-OT1	0.0000000000000000000164672979426201	-0.597283376450538	0.087	0.152	0.000000000000000400830499221316
VWA5A	0.0000000000000000000166416813235901	-2.21136394730838	0.011	0.051	0.000000000000000405075165097507
LSM2	0.0000000000000000000168981624979869	-0.241717957839502	0.295	0.386	0.0000000000000004113181733635
TDG	0.0000000000000000000169417131508833	-0.441358820181256	0.268	0.373	0.000000000000000412378239805651
COPB2	0.0000000000000000000172657151033191	-0.443539376139807	0.231	0.33	0.00000000000000042026477132989
UQCR11	0.0000000000000000000173557950965573	-0.305665623199817	0.581	0.685	0.000000000000000422457408445302
CCDC59	0.0000000000000000000182143187694921	-0.419572410431493	0.283	0.388	0.000000000000000443354733168207
NUP37	0.0000000000000000000185163509784553	-0.950921402123675	0.048	0.107	0.000000000000000450706499166579
PRKD2	0.0000000000000000000187122526159579	-0.582124330062212	0.185	0.281	0.000000000000000455474940925031
COX6C	0.0000000000000000000190645172426802	-0.331093881016028	0.592	0.689	0.000000000000000464049414204078
CEP57	0.0000000000000000000197668877918534	-0.405720482310912	0.184	0.269	0.000000000000000481145815741504
